CBSA,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,LSAD
34340,"Surry County, NC",71367,71373,71257,71482,71462,County or equivalent
34380,"Mount Pleasant, MI",64396,64518,64248,64366,64118,Micropolitan Statistical Area
34380,"Isabella County, MI",64396,64518,64248,64366,64118,County or equivalent
34420,"Mount Pleasant, TX",55679,55695,55869,56010,56423,Micropolitan Statistical Area
34420,"Camp County, TX",12464,12428,12602,12721,13000,County or equivalent
34420,"Morris County, TX",11974,11976,12007,12052,12066,County or equivalent
34420,"Titus County, TX",31241,31291,31260,31237,31357,County or equivalent
34460,"Mount Sterling, KY",46970,46974,47210,47421,47788,Micropolitan Statistical Area
34460,"Bath County, KY",12747,12716,12795,12828,12975,County or equivalent
34460,"Menifee County, KY",6114,6146,6185,6236,6286,County or equivalent
34460,"Montgomery County, KY",28109,28112,28230,28357,28527,County or equivalent
34500,"Mount Vernon, IL",37110,36995,36889,36419,36320,Micropolitan Statistical Area
34500,"Jefferson County, IL",37110,36995,36889,36419,36320,County or equivalent
34540,"Mount Vernon, OH",62721,62803,62543,63196,63320,Micropolitan Statistical Area
34540,"Knox County, OH",62721,62803,62543,63196,63320,County or equivalent
34660,"Murray, KY",37544,37596,37896,38093,38280,Micropolitan Statistical Area
34660,"Calloway County, KY",37544,37596,37896,38093,38280,County or equivalent
34680,"Murrells Inlet, SC",63402,63509,63925,64669,65731,Micropolitan Statistical Area
34680,"Georgetown County, SC",63402,63509,63925,64669,65731,County or equivalent
34700,"Muscatine, IA",43240,43143,42674,42395,42218,Micropolitan Statistical Area
34700,"Muscatine County, IA",43240,43143,42674,42395,42218,County or equivalent
34780,"Muskogee, OK",66348,66246,66267,66307,66677,Micropolitan Statistical Area
34780,"Muskogee County, OK",66348,66246,66267,66307,66677,County or equivalent
34860,"Nacogdoches, TX",64646,64616,64778,64994,65375,Micropolitan Statistical Area
34860,"Nacogdoches County, TX",64646,64616,64778,64994,65375,County or equivalent
34880,"Nantucket, MA",14251,14237,14506,14443,14444,Micropolitan Statistical Area
34880,"Nantucket County, MA",14251,14237,14506,14443,14444,County or equivalent
35020,"Natchez, MS-LA",55474,55237,54330,53610,53375,Micropolitan Statistical Area
35020,"Concordia Parish, LA",18680,18569,18348,18026,17688,County or equivalent
35020,"Adams County, MS",29538,29423,28846,28517,28746,County or equivalent
35020,"Jefferson County, MS",7256,7245,7136,7067,6941,County or equivalent
35060,"Natchitoches, LA",37516,37387,36973,36648,36291,Micropolitan Statistical Area
35060,"Natchitoches Parish, LA",37516,37387,36973,36648,36291,County or equivalent
35100,"New Bern, NC",122166,121756,121948,122540,124215,Micropolitan Statistical Area
35100,"Craven County, NC",100722,100307,100396,101087,102391,County or equivalent
35100,"Jones County, NC",9174,9149,9210,9219,9401,County or equivalent
35100,"Pamlico County, NC",12270,12300,12342,12234,12423,County or equivalent
35140,"Newberry, SC",37721,37731,37968,38315,38825,Micropolitan Statistical Area
35140,"Newberry County, SC",37721,37731,37968,38315,38825,County or equivalent
35220,"New Castle, IN",48910,48903,49024,48815,48929,Micropolitan Statistical Area
35220,"Henry County, IN",48910,48903,49024,48815,48929,County or equivalent
35340,"New Iberia, LA",70288,70055,69325,68320,67659,Micropolitan Statistical Area
35340,"Iberia Parish, LA",70288,70055,69325,68320,67659,County or equivalent
35420,"New Philadelphia-Dover, OH",93265,93193,92618,91971,91874,Micropolitan Statistical Area
35420,"Tuscarawas County, OH",93265,93193,92618,91971,91874,County or equivalent
35440,"Newport, OR",50399,50510,51013,50752,50821,Micropolitan Statistical Area
35440,"Lincoln County, OR",50399,50510,51013,50752,50821,County or equivalent
35460,"Newport, TN",35999,36045,36364,36849,37404,Micropolitan Statistical Area
35460,"Cocke County, TN",35999,36045,36364,36849,37404,County or equivalent
35580,"New Ulm, MN",25920,25914,25899,25762,25628,Micropolitan Statistical Area
35580,"Brown County, MN",25920,25914,25899,25762,25628,County or equivalent
